id,url_product,name_product,price,img_product,cpu_name,gpu,ram_info,ram_type,max_ram_upgrade,storage_capacity,display_size,panel_type,resolution,color_gamut,refresh_rate,display_technology,port,webcam,battery_specifications,physical_dimensions,material,release_year
342755,https://www.thegioididong.com/laptop/dell-15-dc15255-r5-7530u-dc5r5802w1,Dell 15 DC15255 R5 7530U (DC5R5802W1),18.290.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342755/dell-15-dc15255-r5-7530u-dc5r5802w1-thumb-638920698565049808-600x600.jpg,,"Card tích hợp, - AMD Radeon Graphics",16 GB,DDR4 (1 khe 16 GB + 1 khe rời),16 GB,"512 GB SSD M.2 NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",WVA,Full HD (1920 x 1080),100% sRGB,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358 mm - Rộng 235 mm - Dày 17 mm - 1.63 kg,Vỏ nhựa,2025
360690,https://www.thegioididong.com/laptop/dell-14-dc14250-core-5-120u-dc4c5386w,Dell 14 DC14250 Core 5 120U (DC4C5386W),20.990.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/360690/dell-14-dc14250-core-5-120u-dc4c5386w-thumb-639027406591081421-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),32 GB,"512 GB SSD M.2 NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",IPS,Full HD+ (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, 300 nits","2 x USB 3.2, 1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort 1.4 và Power Delivery), 1 x Headphone/microphone combo, HDMI 1.4",FHD RGB,"4-cell Li-ion, 54 Wh",Dài 314 mm - Rộng 226 mm - Dày 18 mm - 1.69 kg,Vỏ nhựa,2025
340562,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-dc5i7748w1,Dell 15 DC15250 i7 1355U (DC5I7748W1),22.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340562/dell-15-dc15250-i7-dc5i7748w1-638900114799182560-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (1 khe 16 GB + 1 khe rời),16 GB,512 GB SSD NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, 1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)",Full HD Webcam,"4-cell Li-ion, 54 Wh",Dài 358.5 mm - Rộng 235 mm - Dày 17.5 mm - 1.65 kg,Vỏ nhựa,2025
360691,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-71084746,Dell 15 DC15250 i5 1334U (71084746),19.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/360691/dell-15-dc15250-i5-1334u-71084746-thumb-639027872992844662-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),32 GB,512 GB SSD M.2 NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),45% NTSC,120Hz,"LED Backlit, 250 nits","2 x USB 3.2, 1x USB 3.2 Gen 1 (5 Gbps) Type-C, 1x Global headset jack, HDMI 1.4",Full HD Webcam,"3-cell Li-Po, 41Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.65 kg,Vỏ nhựa,2025
357990,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-cph99,Dell 15 DC15250 i5 1334U (CPH99),19.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357990/dell-15-dc15250-i5-1334u-cph99-thumb-638967241287160500-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (1 khe 16 GB onboard + 1 khe rời),16 GB,"512 GB SSD M.2 NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",WVA,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits","1 x USB 2.0, 1 x USB 3.2, 1 x Headphone/ Microphone combo audio jack, HDMI, 1 x USB 3.2 Gen 1 Type-C",HD webcam,"3 cell, 41 Wh",Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,2025
362024,https://www.thegioididong.com/laptop/dell-pro-14-essential-pv14250-core-5-120u-pv14250-120u-16512w-bl,Dell Pro 14 Essential PV14250 Core 5 120U (PV14250-120U-16512W-BL),23.790.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362024/dell-pro-14-essential-pv14250-core-5-120u-pv14250-120u-16512w-bl-thumb-639046727854987975-600x600.jpg,,"Card tích hợp, - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi)",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),32 GB,"512 GB SSD M.2 NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",IPS,Full HD+ (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, 300 nits","2 x USB 3.2, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort 1.4 và Power Delivery), HDMI 1.4",HD webcam,"4-cell Li-ion, 54 Wh",Dài 314 mm - Rộng 226.15 mm - Dày 18.07 mm - 1.69 kg,Vỏ kim loại,2025
342754,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu,Dell 15 DC15250 i5 1334U (DC15250-i5U165W11SLU),19.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/342754/dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu-thumb-638919949640513466-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (1 khe 16 GB + 1 khe rời),16 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 1 TB, cần mua khay đựng và dây kết nối riêng), 512 GB SSD M.2 NVMe PCIe Gen4x4 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2230))","15.6""",WVA,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",720p at 30 fps HD camera,"3 cell, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,2025
351613,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-dc15250-i7u161w11slu,Dell 15 DC15250 i7 1355U (DC15250-i7U161W11SLU),23.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/351613/dell-15-dc15250-i7-1355u-dc15250-i7u161w11slu-thumb-638938737336707122-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (1 khe 16 GB + 1 khe rời),16 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2230))","15.6""",WVA,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD webcam,"4-cell, 54 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,2025
362667,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-dc15250-i7u161w11slu-5,Dell 15 DC15250 i7 1355U (DC15250-i7U161W11SLU-5),23.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362667/dell-15-dc15250-i7-1355u-dc15250-i7u161w11slu-5-thumb-639056494584185320-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),16 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2230))","15.6""",WVA,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD webcam,"4-cell, 54 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,2025
358498,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-71071928,Dell 15 DC15250 i5 1334U (71071928),19.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/358498/dell-15-dc15250-i5-1334u-71071928-thumb-2-638975019260439384-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (1 khe),16 GB,512 GB SSD M.2 NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits, WVA","1 x USB 3.2, 1 x USB 2.0, 1x Global headset jack, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD webcam,"3-cell Li-Po, 41Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.65 kg,Vỏ nhựa,2025
362666,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu-5,Dell 15 DC15250 i5 1334U (DC15250-i5U165W11SLU-5),19.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362666/dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu-5-thumb-639056487911465667-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),16 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 1 TB, cần mua khay đựng và dây kết nối riêng), 512 GB SSD M.2 NVMe PCIe Gen4x4 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2230))","15.6""",WVA,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",720p at 30 fps HD camera,"3 cell, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,2025
339679,https://www.thegioididong.com/laptop/dell-latitude-3450-i5-l34501335u16512wn,Dell Latitude 3450 i5 1335U (L3450-1335U-16512WN),18.990.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339679/dell-latitude-3450-i5-l34501335u16512wn-638895751182170399-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",IPS,Full HD (1920 x 1080),45% NTSC,60Hz,"Chống chói Anti Glare, 250 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery), 1 x USB 3.2 (hỗ trợ PowerShare), LAN (RJ45)",Full HD Webcam,"3-cell Li-ion, 42 Wh",Dài 322.17 mm - Rộng 219.43 mm - Dày 19.34 mm - 1.5 kg,Vỏ nhựa,2024
362020,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-cph991,Dell 15 DC15250 i7 1355U (CPH991),23.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362020/dell-15-dc15250-i7-1355u-cph991-thumb-639043732789508738-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),16 GB,1 TB SSD M.2 NVMe PCIe,"15.6""",WVA,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits","1 x USB 3.2, 1 x USB 2.0, 2 x USB 3.2 Gen 1 Type-C, 1 x Headphone/ Microphone combo audio jack, HDMI",HD webcam,"4-cell Li-Po, 54 Wh",Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,2025
334803,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5530w1,Dell Inspiron 15 3530 i5 1334U (N5I5530W1),18.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334803/dell-inspiron-15-3530-i5-n5i5530w1-thumb-638762534676491196-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB), Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)","15.6""",,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, WVA","1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,2024
340560,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71070372,Dell Inspiron 15 3530 i5 1334U (71070372),18.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340560/dell-inspiron-15-3530-i5-71070372-638900114510203065-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),16 GB,512 GB SSD NVMe PCIe,"15.6""",,Full HD (1920 x 1080),,120Hz,WVA,"1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,2025
339681,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-p16wd22,Dell Inspiron 15 3530 i5 1334U (P16WD22),18.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339681/dell-inspiron-15-3530-i5-p16wd22-638895760085626264-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),16 GB,512 GB SSD NVMe PCIe,"15.6""",,Full HD (1920 x 1080),40% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits, WVA","1 x USB 2.0, 1 x USB 3.2, HDMI, 1 x Headphone/microphone combo, USB Type-C",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,2025
362026,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-dc5i7952w1,Dell 15 DC15250 i7 1355U (DC5I7952W1),22.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362026/dell-15-dc15250-i7-1355u-dc5i7952w1-thumb-639047248097263896-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),16 GB,512 GB SSD M.2 NVMe PCIe,"15.6""",IPS,Full HD,45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits","1x USB 3.2 Gen 1 (5 Gbps) Type-C, 1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, HDMI 1.4, 1 x USB 3.2 Gen 1 Type-C (hỗ trợ Power Delivery, DisplayPort)",FHD RGB,"4-cell Li-ion, 54 Wh",Dài 358.5 mm - Rộng 235 mm - Dày 17.5 mm - 1.65 kg,Vỏ nhựa,2025
340558,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n3530-i5u165w11slu-hs24,Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU-HS24),18.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/340558/dell-inspiron-15-3530-i5-n3530-i5u165w11slu-hs24-638900112743874982-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),16 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","15.6""",,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits, WVA","1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,2025
333107,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-i5-ndy5v1,Dell Inspiron 14 5440 i5 1334U (NDY5V1),21.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333107/dell-inspiron-14-5440-i5-ndy5v1-638774727166795143-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),24 GB,512 GB SSD NVMe PCIe,"14""",,Full HD+ (1920 x 1200),,60Hz,"Display with ComfortView, Chống chói Anti Glare, 250 nits, WVA","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)",HD webcam,"3-cell Li-ion, 41 Wh",Dài 314 mm - Rộng 226.6 mm - Dày 19.9 mm - 1.54 kg,Vỏ nhựa,2024
360692,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-71084747,Dell 15 DC15250 i7 1355U (71084747),22.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/360692/dell-15-dc15250-i7-1355u-71084747-thumb-639027873246623313-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),32 GB,512 GB SSD M.2 NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),,120Hz,"LED Backlit, 250 nits","1x USB 3.2 Gen 1 (5 Gbps) Type-C, 1 x USB 3.2, 1x Global headset jack, HDMI 1.4",Full HD Webcam,"3-cell Li-Po, 41Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.65 kg,Vỏ nhựa,2025
357992,https://www.thegioididong.com/laptop/dell-15-dc15255-r7-7730u-x9ym41,Dell 15 DC15255 R7 7730U (X9YM41),20.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357992/dell-15-dc15255-r7-7730u-x9ym41-thumb-638965540892499877-600x600.jpg,,"Card tích hợp, - AMD Radeon Graphics",16 GB,DDR4,32 GB,1 TB SSD NVMe M.2 PCIe (2230/2280),"15.6""",,Full HD (1920 x 1080),100% sRGB,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits, WVA","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, HDMI, 1 x USB 3.2 Gen 1 Type-C",HD webcam,"3 cell, 41 Wh",Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - 1.9 kg,Vỏ nhựa,2025
338316,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n3530-i5u165w11slu-bl,Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU-BL),18.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338316/dell-inspiron-15-3530-i5-n3530-i5u165w11slu-bl-thumb-638840243364698500-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)","15.6""",,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, 250 nits, WVA","1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, USB Type-C",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.66 kg,Vỏ nhựa,2025
364859,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-71092479,"Dell 15 DC15250 i5 1334U (71092479)
                Mẫu mới",20.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/364859/dell-15-dc15250-i5-1334u-71092479-thumb-639106625637480692-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),32 GB,512 GB SSD M.2 NVMe PCIe,"15.6""",IPS,Full HD (1920 x 1080),45% NTSC,120Hz,"LED Backlit, 250 nits","1x USB 3.2 Gen 1 (5 Gbps) Type-C, 1 x USB 3.2, 1x Global headset jack, HDMI 1.4",Full HD Webcam,"3-cell Li-Po, 41Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.65 kg,Vỏ nhựa,2025
341563,https://www.thegioididong.com/laptop/dell-alienware-16-aurora-ac16250-core-5-210h-71072939,Dell Gaming Alienware 16 Aurora AC16250 Core 5 210H (71072939),31.290.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/341563/dell-alienware-16-aurora-ac16250-core-5-210h-71072939-thumb2-638939737088688848-600x600.jpg,,"Card rời, - NVIDIA GeForce RTX 3050, 6 GB",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),32 GB,512 GB SSD NVMe PCIe,"16""",,WQXGA (2560 x 1600),100% sRGB,120Hz,"300 nits, ComfortView Plus","2 x USB 3.2, Jack tai nghe 3.5 mm, 2 x USB Type-C (hỗ trợ USB 3.2 và DisplayPort 1.4), HDMI, LAN (RJ45)",HD webcam,"3-cell Li-ion, 60 Wh",Dài 356.98 mm - Rộng 265.43 mm - Dày 22.7 mm - 2.49 kg,Vỏ nhựa - nắp lưng bằng hợp kim nhôm,2025
361536,https://www.thegioididong.com/laptop/dell-14-dc1425-core-7-150u-71083580,Dell 14 DC14250 Core 7 150U (71083580),23.690.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/361536/dell-14-dc1425-core-7-150u-71083580-thumb-639036575633348854-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),32 GB,512 GB SSD M.2 NVMe PCIe,"14""",IPS,Full HD+ (1920 x 1200),Hãng không công bố,60Hz,"Chống chói Anti Glare, 300 nits","2 x USB 3.2, 1x Global headset jack, 1 x USB 3.2 Gen 2 Type-C (Hỗ trợ DisplayPort và Power Delivery), HDMI 1.4",Full HD Webcam,"4-cell Li-Po, 54 Wh",Dài 320 mm - Rộng 215.97 mm - Dày 18.02 mm - 1.83 kg,Vỏ nhựa,2025
357991,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-cph997,Dell 15 DC15250 i7 1355U (CPH997),23.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/357991/dell-15-dc15250-i7-1355u-cph997-thumb-2-638965530519880244-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4,Không hỗ trợ nâng cấp,1 TB SSD NVMe M.2 PCIe (2230/2280),"15.6""",,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits, WVA","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, HDMI, 1 x USB 3.2 Gen 1 Type-C",HD webcam,"4-cell, 54 Wh",Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - 1.65 kg,Vỏ nhựa,2025
325244,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-n4i7204w1,Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),24.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325244/dell-inspiron-14-5440-core-7-n4i7204w1-thumb-638754948363791973-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),32 GB,512 GB SSD NVMe PCIe,"14""",IPS,Full HD+ (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, 250 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4)",Full HD Webcam,"4-cell Li-ion, 54 Wh",Dài 314 mm - Rộng 226.15 mm - Dày 18.07 mm - 1.67 kg,Vỏ nhựa,2023
337470,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71064798,Dell Inspiron 15 3520 i5 1235U (71064798),16.790.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/337470/dell-inspiron-15-3520-i5-71064798-thumb-638828184201929000-600x600.jpg,,"Card tích hợp, -, Intel Iris Xe Graphics",16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits, WVA","1 x USB 2.0, 2 x USB 3.2, HDMI, 1 x Headphone/microphone combo",HD webcam,"3-cell Li-ion, 41 Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.9 kg,Vỏ nhựa,2025
362021,https://www.thegioididong.com/laptop/dell-14-dc14250-core-5-120u-f0ftk5,Dell 14 DC14250 Core 5 120U (F0FTK5),22.690.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362021/dell-14-dc14250-i7-1355u-f0ftk5-thumb-639045173799167720-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),32 GB,1 TB SSD M.2 PCIe,"14""",IPS,Full HD+ (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, 300 nits","2 x USB 3.2, 1 x Headset (Headphone and microphone combo), 1 x USB 3.2 Gen 2 Type-C (Hỗ trợ DisplayPort và Power Delivery), HDMI 1.4",HD webcam,"4-cell Li-ion, 54 Wh",Dài 314 mm - Rộng 226.15 mm - Dày 18.07 mm - 1.605 kg,Vỏ nhựa,2025
358499,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-71073959,Dell 15 DC15250 i7 1355U (71073959),22.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/358499/dell-15-dc15250-i7-1355u-71073959-thumb-2-638975018038148792-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (1 khe),16 GB,512 GB SSD NVMe M.2 PCIe,"15.6""",IPS,Full HD (1920 x 1080),45% NTSC,120Hz,"Chống chói Anti Glare, LED Backlit, 250 nits, WVA","1 x USB 3.2, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4",HD webcam,"3-cell Li-Po, 41Wh",Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - 1.65 kg,Vỏ nhựa,2025
