id,url_product,name_product,price,img_product,cpu_name,gpu,ram_info,ram_type,max_ram_upgrade,storage_capacity,display_size,panel_type,resolution,color_gamut,refresh_rate,display_technology,port,webcam,battery_specifications,physical_dimensions,material,release_year
325479,https://www.thegioididong.com/laptop/asus-vivobook-s-16-oled-s5606ma-ultra-5-mx050w,Asus Vivobook S 16 OLED S5606MA Ultra 5 125H (MX050W),24.390.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325479/asus-vivobook-s-16-oled-s5606ma-ultra-5-mx050w-638763553510092279-600x600.jpg,,"Card tích hợp, - Intel Arc Graphics",16 GB,LPDDR5X (Onboard),Không hỗ trợ nâng cấp,512 GB SSD NVMe M.2 PCIe Gen 4.0,"16""",OLED,3.2K (3200 x 2000) OLED,100% DCI-P3,120Hz,"Chuẩn DisplayHDR True Black 600, Low Blue Light, 400 nits, 600 nits (Khi bật HDR), 1.07 tỷ màu","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Full HD Webcam, Camera IR","4-cell Li-ion, 75 Wh",Dài 353.6 mm - Rộng 246.9 mm - Dày 15.9 mm - 1.5 kg,Vỏ kim loại - Nhôm,2024
338321,https://www.thegioididong.com/laptop/asus-s3407ca-ultra-7-ly096ws,Asus Vivobook S14 S3407CA Ultra 7 255H (LY096WS),27.290.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/338321/asus-s3407ca-ultra-7-ly096ws-638900879294934441-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),32 GB,512 GB SSD NVMe PCIe,"14""",IPS,WUXGA (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 300 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 2 x USB Type-C (Power Delivery and DisplayPort)","Full HD Webcam, Camera IR","4-cell Li-ion, 70 Wh",Dài 315.2 mm - Rộng 223.4 mm - Dày 17.9 mm - 1.4 kg,Vỏ kim loại - Nhôm,2025
328238,https://www.thegioididong.com/laptop/asus-vivobook-k3605zc-i5-rp629w,Asus Gaming Vivobook K3605ZC i5 12500H (RP629W),19.090.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/328238/asus-vivobook-k3605zc-i5-rp629w-170225-112605-145-600x600.jpg,,"Card rời, -, NVIDIA GeForce RTX 3050, 4 GB",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),24 GB,512 GB SSD NVMe PCIe,"16""",,WUXGA (1920 x 1200),45% NTSC,144Hz,"Chống chói Anti Glare, LED Backlit, 300 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type C (chỉ hỗ trợ Power Delivery)",HD webcam,"3-cell Li-ion, 50 Wh",Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm - 1.8 kg,Vỏ nhựa - nắp lưng bằng kim loại,2024
335171,https://www.thegioididong.com/laptop/asus-vivobook-16-a1607ca-ultra-5-mb038ws,Asus Vivobook 16 A1607CA Ultra 5 225H (MB038WS),20.590.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/335171/asus-vivobook-16-a1607ca-ultra-5-mb038ws-638774634523597142-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR5 (Onboard),Không hỗ trợ nâng cấp,512 GB SSD NVMe M.2 PCIe Gen 4.0,"16""",IPS,WUXGA (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, LED Backlit, 300 nits","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 2 x USB Type-C (Power Delivery and DisplayPort)","Full HD Webcam, Camera IR","3-cell Li-ion, 42 Wh",Dài 357 mm - Rộng 250.6 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,2025
334795,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i7-mb1875ws,Asus Vivobook 16 X1605VA i7 13620H (MB1875WS),19.390.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334795/asus-vivobook-16-x1605va-i7-mb1875ws-160625-101200-046-600x600.jpg,,"Card tích hợp, -, Intel UHD Graphics",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),16 GB,512 GB SSD NVMe PCIe,"16""",IPS,WUXGA (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, 300 nits","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type C (hỗ trợ truyền dữ liệu và Power Delivery)",HD webcam,"3-cell Li-ion, 42 Wh",Dài 358.7 mm - Rộng 249.5 mm - Dày 19.9 mm - 1.88 kg,Vỏ nhựa,2025
362405,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-core-5-120u-eb155w,Asus Vivobook 14 X1404VA Core 5 120U (EB155W),17.390.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362405/asus-vivobook-14-x1404va-core-5-120u-eb155w-thumb-639057639106053730-600x600.jpg,,"Card tích hợp, - Intel Graphics",16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),24 GB,"512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",IPS,Full HD (1920 x 1080),45% NTSC,60Hz,"Chống chói Anti Glare, 250 nits","1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2, HDMI 1.4",HD webcam,3-cell Li-ion - 42 WHrs,Dài 324.9 mm - Rộng 213.9 mm - Dày 17.9 mm - 1.4 kg,Vỏ nhựa,2026
334796,https://www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-5-pz187ws,Asus Zenbook 14 UX3405CA Ultra 5 225H (PZ187WS),29.690.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334796/asus-zenbook-14-ux3405ca-ultra-5-pz187ws-638774629870118990-600x600.jpg,,"Card tích hợp, - Intel Arc Graphics",16 GB,LPDDR5X (Onboard),Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,"14""",OLED,2.8K (2880 x 1800) - OLED 16:10,100% DCI-P3,120Hz,"Thời gian phản hồi 0.2 ms, Màn hình bảo vệ mắt - EYE CARE, Chuẩn DisplayHDR True Black 500, Low Blue Light, 400 nits, 500 nits (Khi bật HDR), 1.07 tỷ màu","Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, 2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Full HD Webcam, Camera IR","4-cell Li-ion, 75 Wh",Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.28 kg,Vỏ kim loại - Nhôm,2025
362619,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx607vu-core-5-210h-rl045w,Asus TUF Gaming FX607VU Core 5 210H (RL045W),26.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362619/asus-tuf-gaming-fx607vu-core-5-210h-rl045w-thumb-639059673417105880-600x600.jpg,,"Card rời, - NVIDIA GeForce RTX 4050, 6 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),64 GB,"512 GB SSD M.2 NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB), Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)","16""",IPS,Full HD+ (1920 x 1200),45% NTSC,144Hz,"Chống chói Anti Glare, 300 nits","2 x USB 3.2, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC), 1 x Thunderbolt 4 (hỗ trợ DisplayPort), LAN (RJ45), HDMI 2.1",HD webcam,"4-cell, 56Wh",Dài 354 mm - Rộng 251 mm - Dày 26.7 mm - 2.2 kg,Vỏ kim loại,2025
339684,https://www.thegioididong.com/laptop/asus-tuf-gaming-f16-fx608jhr-i7-rv037w,Asus TUF Gaming F16 FX608JHR i7 14650HX (RV037W),36.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/339684/asus-tuf-gaming-f16-fx608jhr-i7-rv037w-638895760935436861-600x600.jpg,,"Card rời, - NVIDIA GeForce RTX 5050, 8 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),64 GB,1 TB SSD NVMe PCIe Gen 4,"16""",IPS,WUXGA (1920 x 1200),"100% sRGB, 75.35% Adobe RGB, 72% NTSC",165 Hz,"G-Sync, Chống chói Anti Glare, 300 nits","Jack tai nghe 3.5 mm, 3 x USB 3.2, HDMI, 1 x Thunderbolt 4 (hỗ trợ DisplayPort / G-SYNC), LAN (RJ45), 1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)","Full HD Webcam, Camera IR","4-cell Li-ion, 90 Wh",Dài 354 mm - Rộng 269 mm - Dày 27.3 mm - 2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,2025
362410,https://www.thegioididong.com/laptop/asus-vivobook-14-x1407ca-ultra-5-225h-ly008w,Asus Vivobook 14 X1407CA Ultra 5 225H (LY008W),21.490.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/362410/asus-vivobook-14-x1407ca-ultra-5-225h-ly008w-thumb-639057861785762557-600x600.jpg,,"Card tích hợp, - Intel Arc Graphics",16 GB,DDR5 (1 khe 16 GB + 1 khe rời),32 GB,"512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","14""",IPS,WUXGA (1920 x 1200),45% NTSC,60Hz,"Chống chói Anti Glare, 300 nits","2 x USB 3.2, Jack tai nghe 3.5 mm, 2 x USB 3.2 Gen 1 Type-C (hỗ trợ DisplayPort, Power Delivery), HDMI 1.4","FHD Webcam, IR camera",3-cell Li-ion - 42 WHrs,Dài 315.2 mm - Rộng 223.4 mm - Dày 19.9 mm - 1.46 kg,Vỏ nhựa,2026
336031,https://www.thegioididong.com/laptop/asus-zenbook-14-ux3405ca-ultra-9-pz204ws,Asus Zenbook 14 UX3405CA Ultra 9 285H (PZ204WS),35.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/336031/asus-zenbook-14-ux3405ca-ultra-9-pz204ws-thumb-new-638828164694519022-600x600.jpg,,"Card tích hợp, - Intel Arc Graphics",32 GB,LPDDR5X (Onboard),Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,"14""",,2.8K (2880 x 1800) - OLED 16:10,100% DCI-P3,120Hz,"Thời gian phản hồi 0.2 ms, Màn hình bảo vệ mắt - EYE CARE, Chuẩn DisplayHDR True Black 500, Low Blue Light, 400 nits, 500 nits (Khi bật HDR), 1.07 tỷ màu","Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, 2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)","Full HD Webcam, Camera IR","4-cell Li-ion, 75 Wh",Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm - 1.28 kg,Vỏ kim loại - Nhôm,2025
